model,seed,feature,perturbation,original_pooled_mae,original_patient_mae,original_rmse,original_bis_below_40_mae,original_bis_40_to_60_mae,original_bis_above_60_mae,perturbed_pooled_mae,perturbed_patient_mae,perturbed_rmse,perturbed_bis_below_40_mae,perturbed_bis_40_to_60_mae,perturbed_bis_above_60_mae,delta_pooled_mae,delta_patient_mae,delta_rmse,delta_bis_below_40_mae,delta_bis_40_to_60_mae,delta_bis_above_60_mae,contribution_rank
gru,21,ppf_cp,feature_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,3.2936244205152896,3.48207426071167,4.555562768219514,2.9496567249298096,3.289299249649048,4.886556625366211,0.03524149666231047,0.04744577407836914,0.050124190997752116,0.019634246826171875,0.05465364456176758,-0.04253435134887695,10.0
gru,21,ppf_ce,feature_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,3.4933558762500314,3.6860857009887695,4.722511020781104,3.0339715480804443,3.5590248107910156,5.074056625366211,0.2349729523970523,0.25145721435546875,0.21707244355934208,0.10394906997680664,0.32437920570373535,0.14496564865112305,3.0
gru,21,rftn_rate,feature_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,3.2788930697709215,3.463515043258667,4.523404739227603,3.0017683506011963,3.239262580871582,4.838874816894531,0.020510145917942424,0.02888655662536621,0.017966162005841113,0.0717458724975586,0.004616975784301758,-0.09021615982055664,12.0
gru,21,rftn_volume,feature_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,3.2451535948202466,3.4363768100738525,4.492986953923304,3.2342090606689453,3.0887157917022705,4.491921424865723,-0.01322932903273255,0.0017483234405517578,-0.012451623298457726,0.3041865825653076,-0.14592981338500977,-0.43716955184936523,16.0
gru,21,rftn_cp,feature_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,3.3749903004862696,3.652064085006714,4.62605366216696,2.9974706172943115,3.3702447414398193,5.123293876647949,0.11660737663329046,0.21743559837341309,0.12061508494519835,0.06744813919067383,0.13559913635253906,0.19420289993286133,4.0
gru,21,rftn_ce,feature_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,3.280862224537213,3.4468190670013428,4.521334521081616,3.047987699508667,3.2376015186309814,4.667961120605469,0.022479300684234094,0.012190580368041992,0.015895943859853823,0.1179652214050293,0.002955913543701172,-0.26112985610961914,14.0
gru,21,bis_slope,feature_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,3.444519883017121,3.625493049621582,4.6889102524961155,3.0522427558898926,3.4698846340179443,5.029328346252441,0.18613695916414175,0.19086456298828125,0.1834716752743537,0.12222027778625488,0.23523902893066406,0.10023736953735352,5.0
attention,21,bis,feature_unavailable_value_zero_mask_zero_all_six_steps,3.21383903143845,3.3884236812591553,4.459486575309278,3.209949493408203,3.054980993270874,4.447133541107178,44.49664945207245,43.90980911254883,45.71296953780963,54.37576675415039,41.655242919921875,21.440336227416992,41.28281042063399,40.52138543128967,41.25348296250035,51.16581726074219,38.600261926651,16.993202686309814,1.0
attention,21,bis_sqi,feature_unavailable_value_zero_mask_zero_all_six_steps,3.21383903143845,3.3884236812591553,4.459486575309278,3.209949493408203,3.054980993270874,4.447133541107178,3.2139974478363276,3.388479709625244,4.459353635200256,3.208466053009033,3.055314064025879,4.453402042388916,0.00015841639787739226,5.602836608886719e-05,-0.00013294010902153985,-0.0014834403991699219,0.0003330707550048828,0.006268501281738281,11.0
attention,21,hr,feature_unavailable_value_zero_mask_zero_all_six_steps,3.21383903143845,3.3884236812591553,4.459486575309278,3.209949493408203,3.054980993270874,4.447133541107178,3.213796809380401,3.38810396194458,4.458734365819707,3.2065834999084473,3.054659366607666,4.4643049240112305,-4.2222058049379285e-05,-0.0003197193145751953,-0.0007522094895708875,-0.0033659934997558594,-0.0003216266632080078,0.017171382904052734,14.0
attention,21,mbp,feature_unavailable_value_zero_mask_zero_all_six_steps,3.21383903143845,3.3884236812591553,4.459486575309278,3.209949493408203,3.054980993270874,4.447133541107178,3.214358860176625,3.389612913131714,4.464317397752155,3.2076480388641357,3.0561814308166504,4.455240726470947,0.000519828738174688,0.0011892318725585938,0.004830822442877469,-0.002301454544067383,0.0012004375457763672,0.008107185363769531,5.0
