model,seed,group,member_features,repetition,permutation,all_multiwindow_patient_shifts_nonzero,delta_pooled_mae,delta_patient_mae,delta_rmse,delta_bis_below_40_mae,delta_bis_40_to_60_mae,delta_bis_above_60_mae,seed_group_mean_delta_patient_mae,seed_group_sample_sd_delta_patient_mae,seed_group_minimum_delta_patient_mae,seed_group_maximum_delta_patient_mae,contribution_rank
attention,7,bis_quality_and_dynamics,"bis_sqi,bis_slope",2,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,1.4675322629997822e-05,-0.00046753883361816406,-0.000161964047373786,7.867813110351562e-06,0.00020051002502441406,-0.0013728141784667969,-0.0003046989440917969,0.00023773516617369878,-0.0006229877471923828,0.00013327598571777344,5.0
attention,7,bis_quality_and_dynamics,"bis_sqi,bis_slope",3,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.0001084265791204686,-0.0005679130554199219,0.00021062107727143342,-7.414817810058594e-05,0.0004265308380126953,-0.0014977455139160156,-0.0003046989440917969,0.00023773516617369878,-0.0006229877471923828,0.00013327598571777344,5.0
attention,7,bis_quality_and_dynamics,"bis_sqi,bis_slope",4,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,-1.0682070306966551e-05,-0.0005054473876953125,-0.0002601014105820809,-9.131431579589844e-05,0.00021719932556152344,-0.0013871192932128906,-0.0003046989440917969,0.00023773516617369878,-0.0006229877471923828,0.00013327598571777344,5.0
attention,7,bis_quality_and_dynamics,"bis_sqi,bis_slope",5,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,-0.0001956479820037771,-0.00030350685119628906,-0.0003352043012148087,-7.05718994140625e-05,0.00011181831359863281,-0.0031142234802246094,-0.0003046989440917969,0.00023773516617369878,-0.0006229877471923828,0.00013327598571777344,5.0
attention,7,bis_quality_and_dynamics,"bis_sqi,bis_slope",6,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.00021178387380960118,-0.00010538101196289062,-8.093378559781428e-05,0.00011372566223144531,0.00029969215393066406,-1.33514404296875e-05,-0.0003046989440917969,0.00023773516617369878,-0.0006229877471923828,0.00013327598571777344,5.0
attention,7,bis_quality_and_dynamics,"bis_sqi,bis_slope",7,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.00040372820971823487,0.00013327598571777344,0.00017299808649973158,0.00020551681518554688,0.0004100799560546875,0.001255035400390625,-0.0003046989440917969,0.00023773516617369878,-0.0006229877471923828,0.00013327598571777344,5.0
attention,7,bis_quality_and_dynamics,"bis_sqi,bis_slope",8,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.0002603654025206126,-0.00012874603271484375,0.00012233354568369492,-4.6253204345703125e-05,0.0003745555877685547,0.0007777214050292969,-0.0003046989440917969,0.00023773516617369878,-0.0006229877471923828,0.00013327598571777344,5.0
attention,7,bis_quality_and_dynamics,"bis_sqi,bis_slope",9,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,-0.00012292110775824483,-0.00022912025451660156,-0.0005650869150937154,3.0040740966796875e-05,-2.1457672119140625e-06,-0.0017385482788085938,-0.0003046989440917969,0.00023773516617369878,-0.0006229877471923828,0.00013327598571777344,5.0
attention,7,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",0,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.07213787775613945,0.09113860130310059,0.08921267022763768,0.05722188949584961,0.04210543632507324,0.36960506439208984,0.08432738780975342,0.011111635669527177,0.0740365982055664,0.10432791709899902,2.0
attention,7,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",1,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.07619300181351596,0.1010899543762207,0.1001587291335424,0.03170347213745117,0.044208526611328125,0.5227084159851074,0.08432738780975342,0.011111635669527177,0.0740365982055664,0.10432791709899902,2.0
attention,7,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",2,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.06897374589841476,0.07752132415771484,0.08281860930083251,0.05254793167114258,0.02437901496887207,0.4847230911254883,0.08432738780975342,0.011111635669527177,0.0740365982055664,0.10432791709899902,2.0
