model,seed,group,member_features,perturbation,original_pooled_mae,original_patient_mae,original_rmse,original_bis_below_40_mae,original_bis_40_to_60_mae,original_bis_above_60_mae,perturbed_pooled_mae,perturbed_patient_mae,perturbed_rmse,perturbed_bis_below_40_mae,perturbed_bis_40_to_60_mae,perturbed_bis_above_60_mae,delta_pooled_mae,delta_patient_mae,delta_rmse,delta_bis_below_40_mae,delta_bis_40_to_60_mae,delta_bis_above_60_mae,contribution_rank
attention,42,hemodynamic,"hr,mbp,sbp,dbp",group_unavailable_value_zero_mask_zero_all_six_steps,3.193588376730901,3.382908344268799,4.447197355877532,3.0289158821105957,3.1168906688690186,4.527275085449219,3.2747877467782693,3.4429385662078857,4.501075756462029,3.37917423248291,3.077716827392578,4.309492588043213,0.08119937004736855,0.060030221939086914,0.05387840058449722,0.35025835037231445,-0.03917384147644043,-0.21778249740600586,4.0
attention,42,respiratory,"spo2,etco2",group_unavailable_value_zero_mask_zero_all_six_steps,3.193588376730901,3.382908344268799,4.447197355877532,3.0289158821105957,3.1168906688690186,4.527275085449219,3.230960151765503,3.4055564403533936,4.467627146133133,3.2746922969818115,3.0641677379608154,4.309016704559326,0.037371775034602095,0.022648096084594727,0.020429790255601432,0.24577641487121582,-0.052722930908203125,-0.21825838088989258,5.0
gru,84,current_bis,bis,group_unavailable_value_zero_mask_zero_all_six_steps,3.2110915424146764,3.378894805908203,4.459399332297138,3.110697031021118,3.06000018119812,4.822587490081787,7.462271191310065,8.603165626525879,10.04111310078726,9.352402687072754,4.353651523590088,22.679487228393555,4.251179648895389,5.224270820617676,5.581713768490123,6.241705656051636,1.2936513423919678,17.856899738311768,1.0
gru,84,bis_quality_and_dynamics,"bis_sqi,bis_slope",group_unavailable_value_zero_mask_zero_all_six_steps,3.2110915424146764,3.378894805908203,4.459399332297138,3.110697031021118,3.06000018119812,4.822587490081787,4.426592090793417,4.608327388763428,5.627922088330628,3.7942254543304443,4.609151363372803,5.897238731384277,1.2155005483787402,1.2294325828552246,1.1685227560334903,0.6835284233093262,1.5491511821746826,1.0746512413024902,2.0
gru,84,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",group_unavailable_value_zero_mask_zero_all_six_steps,3.2110915424146764,3.378894805908203,4.459399332297138,3.110697031021118,3.06000018119812,4.822587490081787,3.918066995022708,4.081121444702148,5.140147625137126,3.4259049892425537,4.06386137008667,5.034249305725098,0.7069754526080314,0.7022266387939453,0.6807482928399882,0.31520795822143555,1.0038611888885498,0.21166181564331055,3.0
gru,84,remifentanil,"rftn_rate,rftn_volume,rftn_cp,rftn_ce",group_unavailable_value_zero_mask_zero_all_six_steps,3.2110915424146764,3.378894805908203,4.459399332297138,3.110697031021118,3.06000018119812,4.822587490081787,3.3010356666644647,3.469118595123291,4.567154612072667,3.2782363891601562,3.167480707168579,4.42645263671875,0.08994412424978826,0.09022378921508789,0.10775527977552901,0.16753935813903809,0.10748052597045898,-0.3961348533630371,6.0
gru,84,hemodynamic,"hr,mbp,sbp,dbp",group_unavailable_value_zero_mask_zero_all_six_steps,3.2110915424146764,3.378894805908203,4.459399332297138,3.110697031021118,3.06000018119812,4.822587490081787,3.3960058941277476,3.6237521171569824,4.665840773665355,3.257357120513916,3.3080708980560303,4.697674751281738,0.18491435171307113,0.2448573112487793,0.2064414413682174,0.14666008949279785,0.24807071685791016,-0.12491273880004883,4.0
gru,84,respiratory,"spo2,etco2",group_unavailable_value_zero_mask_zero_all_six_steps,3.2110915424146764,3.378894805908203,4.459399332297138,3.110697031021118,3.06000018119812,4.822587490081787,3.334021791296255,3.47982120513916,4.557862701911055,3.3295271396636963,3.194410800933838,4.422773838043213,0.12293024888157866,0.10092639923095703,0.098463369613917,0.21883010864257812,0.13441061973571777,-0.3998136520385742,5.0
attention,84,current_bis,bis,group_unavailable_value_zero_mask_zero_all_six_steps,3.164916797624058,3.362499475479126,4.448388885843746,3.170968532562256,3.0207648277282715,4.240592956542969,9.651545977309803,9.842549324035645,13.008356624630794,8.913530349731445,7.719022750854492,27.786909103393555,6.486629179685745,6.4800498485565186,8.559967738787048,5.7425618171691895,4.698257923126221,23.546316146850586,1.0
attention,84,bis_quality_and_dynamics,"bis_sqi,bis_slope",group_unavailable_value_zero_mask_zero_all_six_steps,3.164916797624058,3.362499475479126,4.448388885843746,3.170968532562256,3.0207648277282715,4.240592956542969,3.164577309046151,3.369633197784424,4.464679625299417,3.116326332092285,3.058156728744507,4.1977667808532715,-0.000339488577907332,0.0071337223052978516,0.01629073945567061,-0.0546422004699707,0.03739190101623535,-0.042826175689697266,3.0
attention,84,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",group_unavailable_value_zero_mask_zero_all_six_steps,3.164916797624058,3.362499475479126,4.448388885843746,3.170968532562256,3.0207648277282715,4.240592956542969,3.1694212863249094,3.372647762298584,4.475437735651022,3.1823582649230957,3.034243106842041,4.145201206207275,0.004504488700851184,0.010148286819458008,0.027048849807275843,0.011389732360839844,0.013478279113769531,-0.09539175033569336,2.0
attention,84,remifentanil,"rftn_rate,rftn_volume,rftn_cp,rftn_ce",group_unavailable_value_zero_mask_zero_all_six_steps,3.164916797624058,3.362499475479126,4.448388885843746,3.170968532562256,3.0207648277282715,4.240592956542969,3.164878763605667,3.362492561340332,4.448597748419923,3.1702115535736084,3.0212838649749756,4.239551067352295,-3.803401839119758e-05,-6.9141387939453125e-06,0.00020886257617647175,-0.0007569789886474609,0.0005190372467041016,-0.0010418891906738281,6.0
attention,84,hemodynamic,"hr,mbp,sbp,dbp",group_unavailable_value_zero_mask_zero_all_six_steps,3.164916797624058,3.362499475479126,4.448388885843746,3.170968532562256,3.0207648277282715,4.240592956542969,3.1642338260964533,3.3629846572875977,4.455655021960053,3.169083595275879,3.0282487869262695,4.182862281799316,-0.0006829715276048809,0.0004851818084716797,0.007266136116306221,-0.0018849372863769531,0.007483959197998047,-0.057730674743652344,5.0
attention,84,respiratory,"spo2,etco2",group_unavailable_value_zero_mask_zero_all_six_steps,3.164916797624058,3.362499475479126,4.448388885843746,3.170968532562256,3.0207648277282715,4.240592956542969,3.165443043709361,3.363236904144287,4.450318710424132,3.171527624130249,3.0215563774108887,4.2389397621154785,0.0005262460853026063,0.0007374286651611328,0.0019298245803858194,0.0005590915679931641,0.0007915496826171875,-0.0016531944274902344,4.0
gru,123,current_bis,bis,group_unavailable_value_zero_mask_zero_all_six_steps,3.1759923615216623,3.3705224990844727,4.428722701981692,3.075702428817749,3.0070488452911377,4.923625469207764,7.3059724175687935,8.514394760131836,9.920358468116445,9.146317481994629,4.221299648284912,22.565710067749023,4.129980056047131,5.143872261047363,5.4916357661347535,6.07061505317688,1.2142508029937744,17.64208459854126,1.0
gru,123,bis_quality_and_dynamics,"bis_sqi,bis_slope",group_unavailable_value_zero_mask_zero_all_six_steps,3.1759923615216623,3.3705224990844727,4.428722701981692,3.075702428817749,3.0070488452911377,4.923625469207764,3.5253512212012432,3.689554452896118,4.74651899476752,3.1812446117401123,3.556640148162842,4.846380233764648,0.3493588596795809,0.3190319538116455,0.317796292785828,0.10554218292236328,0.5495913028717041,-0.07724523544311523,3.0
gru,123,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",group_unavailable_value_zero_mask_zero_all_six_steps,3.1759923615216623,3.3705224990844727,4.428722701981692,3.075702428817749,3.0070488452911377,4.923625469207764,3.559667679188551,3.7617337703704834,4.8476670723357325,3.4691426753997803,3.501340866088867,4.416528224945068,0.38367531766688856,0.39121127128601074,0.41894437035404053,0.39344024658203125,0.4942920207977295,-0.5070972442626953,2.0
gru,123,remifentanil,"rftn_rate,rftn_volume,rftn_cp,rftn_ce",group_unavailable_value_zero_mask_zero_all_six_steps,3.1759923615216623,3.3705224990844727,4.428722701981692,3.075702428817749,3.0070488452911377,4.923625469207764,3.266698163248925,3.470168113708496,4.547240242680995,3.2535924911499023,3.1472339630126953,4.240325927734375,0.09070580172726261,0.09964561462402344,0.11851754069930287,0.17789006233215332,0.14018511772155762,-0.6832995414733887,5.0
gru,123,hemodynamic,"hr,mbp,sbp,dbp",group_unavailable_value_zero_mask_zero_all_six_steps,3.1759923615216623,3.3705224990844727,4.428722701981692,3.075702428817749,3.0070488452911377,4.923625469207764,3.340498871752348,3.5295491218566895,4.603968586232256,3.2119574546813965,3.277268886566162,4.407278060913086,0.16450651023068552,0.1590266227722168,0.17524588425056375,0.13625502586364746,0.2702200412750244,-0.5163474082946777,4.0
gru,123,respiratory,"spo2,etco2",group_unavailable_value_zero_mask_zero_all_six_steps,3.1759923615216623,3.3705224990844727,4.428722701981692,3.075702428817749,3.0070488452911377,4.923625469207764,3.2307282275528904,3.4180216789245605,4.481226162865121,2.975165367126465,3.202347755432129,4.606842994689941,0.05473586603122804,0.04749917984008789,0.05250346088342894,-0.10053706169128418,0.1952989101409912,-0.31678247451782227,6.0
attention,123,current_bis,bis,group_unavailable_value_zero_mask_zero_all_six_steps,3.159046001817184,3.379009962081909,4.4548352994422435,3.1085143089294434,3.01595139503479,4.483225345611572,8.510125914626396,9.15748405456543,11.345740752927641,9.584610939025879,6.020047664642334,22.69278907775879,5.351079912809212,5.7784740924835205,6.890905453485398,6.4760966300964355,3.004096269607544,18.209563732147217,1.0
attention,123,bis_quality_and_dynamics,"bis_sqi,bis_slope",group_unavailable_value_zero_mask_zero_all_six_steps,3.159046001817184,3.379009962081909,4.4548352994422435,3.1085143089294434,3.01595139503479,4.483225345611572,3.1731185489927243,3.3875672817230225,4.475590466539319,3.077023506164551,3.0591630935668945,4.480936527252197,0.014072547175540073,0.008557319641113281,0.020755167097075145,-0.03149080276489258,0.04321169853210449,-0.002288818359375,2.0
attention,123,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",group_unavailable_value_zero_mask_zero_all_six_steps,3.159046001817184,3.379009962081909,4.4548352994422435,3.1085143089294434,3.01595139503479,4.483225345611572,3.1591233471663207,3.379258155822754,4.455767677960965,3.1095783710479736,3.015932321548462,4.479567050933838,7.734534913650393e-05,0.00024819374084472656,0.0009323785187218547,0.0010640621185302734,-1.9073486328125e-05,-0.003658294677734375,5.0
attention,123,remifentanil,"rftn_rate,rftn_volume,rftn_cp,rftn_ce",group_unavailable_value_zero_mask_zero_all_six_steps,3.159046001817184,3.379009962081909,4.4548352994422435,3.1085143089294434,3.01595139503479,4.483225345611572,3.159085971058947,3.3790009021759033,4.455359041161386,3.108400821685791,3.0163285732269287,4.48137903213501,3.9969241762971564e-05,-9.059906005859375e-06,0.0005237417191423788,-0.00011348724365234375,0.0003771781921386719,-0.0018463134765625,6.0
attention,123,hemodynamic,"hr,mbp,sbp,dbp",group_unavailable_value_zero_mask_zero_all_six_steps,3.159046001817184,3.379009962081909,4.4548352994422435,3.1085143089294434,3.01595139503479,4.483225345611572,3.158605591569908,3.381909132003784,4.473356545818193,3.117025136947632,3.021555185317993,4.39594030380249,-0.00044041024727636824,0.002899169921875,0.01852124637594965,0.008510828018188477,0.005603790283203125,-0.08728504180908203,3.0
attention,123,respiratory,"spo2,etco2",group_unavailable_value_zero_mask_zero_all_six_steps,3.159046001817184,3.379009962081909,4.4548352994422435,3.1085143089294434,3.01595139503479,4.483225345611572,3.1602437136556385,3.379873752593994,4.458340364380573,3.100480794906616,3.0225749015808105,4.48476505279541,0.0011977118384542962,0.0008637905120849609,0.0035050649383290278,-0.008033514022827148,0.006623506546020508,0.0015397071838378906,4.0
